suite,reasoner,repetition,synthetic_users,synthetic_triples,calibration_reused,endpoint,role,tier_name,status,censored,reasoning_ms,generation_ms,prepare_transport_attempts,calibration_query_ms,calibration_transport_attempts,predicted_query_ms,measured_query_ms,query_count,query_transport_attempts,query_id,category,tier,duration_ms,result_count,ask_result,result_digest,failed_phase,timeout_seconds,error
scalability,rdfs_owlrl,1,10,721,True,http://10.151.73.143:8391,edge2,edge,completed,False,14975.909713,14.989407,1,741.3922399999999,1,620.818019,424.789243,16,1,,,,,,,,,,
scalability,rdfs_owlrl,1,10,721,True,http://10.151.73.173:8391,edge3,edge,completed,False,15568.645007,13.904147,1,933.7586670000001,1,619.4812549999999,745.761711,15,1,,,,,,,,,,
scalability,rdfs_owlrl,2,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,3167.139313,3.144373,1,218.801811,1,620.5540659999996,670.32863,53,1,,,,,,,,,,
scalability,rdfs_owlrl,2,10,721,True,http://10.151.73.241:8391,fog,fog,completed,False,15450.584472,13.865518,1,908.15209,1,620.0788510000001,464.566631,16,1,,,,,,,,,,
scalability,rdfs_owlrl,2,10,721,True,http://10.151.73.34:8391,edge1,edge,completed,False,15273.683714,154.051204,1,866.771593,1,620.7116859999999,783.7996290000001,15,1,,,,,,,,,,
scalability,rdfs_owlrl,2,10,721,True,http://10.151.73.143:8391,edge2,edge,completed,False,14951.755176,13.952407,1,741.3922399999999,1,620.818019,581.084832,16,1,,,,,,,,,,
scalability,rdfs_owlrl,2,10,721,True,http://10.151.73.173:8391,edge3,edge,completed,False,15440.03494,14.046499,1,933.7586670000001,1,619.4812549999999,862.6571339999999,15,1,,,,,,,,,,
scalability,rdfs_owlrl,3,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,3167.186016,3.107778,1,218.801811,1,620.5540659999996,591.9911050000001,53,1,,,,,,,,,,
scalability,rdfs_owlrl,3,10,721,True,http://10.151.73.241:8391,fog,fog,completed,False,15361.763861,15.537685,1,908.15209,1,620.0788510000001,473.722649,16,1,,,,,,,,,,
scalability,rdfs_owlrl,3,10,721,True,http://10.151.73.34:8391,edge1,edge,completed,False,15343.801083,13.842519,1,866.771593,1,620.7116859999999,800.7162420000001,15,1,,,,,,,,,,
scalability,rdfs_owlrl,3,10,721,True,http://10.151.73.143:8391,edge2,edge,completed,False,14913.946787,13.913871,1,741.3922399999999,1,620.818019,581.137297,16,1,,,,,,,,,,
scalability,rdfs_owlrl,3,10,721,True,http://10.151.73.173:8391,edge3,edge,completed,False,15334.563049,14.6425,1,933.7586670000001,1,619.4812549999999,863.7383400000001,15,1,,,,,,,,,,
scalability,rdfs,1,100,7021,True,http://127.0.0.1:8391,cloud,cloud,completed,False,684.507817,55.204073,1,233.414028,1,751.4673199999994,1157.050303,53,1,,,,,,,,,,
scalability,rdfs,1,100,7021,True,http://10.151.73.241:8391,fog,fog,completed,False,3322.06348,132.450777,1,805.7776100000001,1,737.4184819999998,631.856239,15,1,,,,,,,,,,
scalability,rdfs,1,100,7021,True,http://10.151.73.34:8391,edge1,edge,completed,False,3312.135202,132.923834,1,816.444629,1,742.62698,686.1914439999999,15,1,,,,,,,,,,
scalability,rdfs,1,100,7021,True,http://10.151.73.143:8391,edge2,edge,completed,False,3289.429831,134.836371,1,803.9593679999999,1,750.603329,681.603925,16,1,,,,,,,,,,
scalability,rdfs,1,100,7021,True,http://10.151.73.173:8391,edge3,edge,completed,False,3333.666466,218.677996,1,960.566779,1,748.9842169999998,1193.4572130000001,16,1,,,,,,,,,,
scalability,rdfs,2,100,7021,True,http://127.0.0.1:8391,cloud,cloud,completed,False,672.885717,29.744046,1,233.414028,1,751.4673199999994,1154.879577,53,1,,,,,,,,,,
scalability,rdfs,2,100,7021,True,http://10.151.73.241:8391,fog,fog,completed,False,3328.803294,134.029926,1,805.7776100000001,1,737.4184819999998,629.312685,15,1,,,,,,,,,,
scalability,rdfs,2,100,7021,True,http://10.151.73.34:8391,edge1,edge,completed,False,3339.06509,135.824963,1,816.444629,1,742.62698,679.09339,15,1,,,,,,,,,,
scalability,rdfs,2,100,7021,True,http://10.151.73.143:8391,edge2,edge,completed,False,3327.858628,135.590704,1,803.9593679999999,1,750.603329,682.511407,16,1,,,,,,,,,,
scalability,rdfs,2,100,7021,True,http://10.151.73.173:8391,edge3,edge,completed,False,3448.788406,213.760138,1,960.566779,1,748.9842169999998,1028.543694,16,1,,,,,,,,,,
scalability,rdfs,3,100,7021,True,http://127.0.0.1:8391,cloud,cloud,completed,False,705.555189,28.275681,1,233.414028,1,751.4673199999994,1145.9846909999999,53,1,,,,,,,,,,
scalability,rdfs,3,100,7021,True,http://10.151.73.241:8391,fog,fog,completed,False,3353.667591,133.110759,1,805.7776100000001,1,737.4184819999998,622.805536,15,1,,,,,,,,,,
scalability,rdfs,3,100,7021,True,http://10.151.73.34:8391,edge1,edge,completed,False,3448.389794,314.240334,1,816.444629,1,742.62698,679.6145730000001,15,1,,,,,,,,,,
scalability,rdfs,3,100,7021,True,http://10.151.73.143:8391,edge2,edge,completed,False,3298.502405,361.851907,1,803.9593679999999,1,750.603329,682.350979,16,1,,,,,,,,,,
scalability,rdfs,3,100,7021,True,http://10.151.73.173:8391,edge3,edge,completed,False,3436.36689,316.085229,1,960.566779,1,748.9842169999998,1029.927251,16,1,,,,,,,,,,
scalability,owlrl,1,100,7021,True,http://127.0.0.1:8391,cloud,cloud,completed,False,2912.688897,49.042924,1,229.129619,1,750.6746609999991,904.990133,54,1,,,,,,,,,,
scalability,owlrl,1,100,7021,True,http://10.151.73.241:8391,fog,fog,completed,False,14179.422381,220.235111,1,955.500405,1,749.964423,1654.082033,16,1,,,,,,,,,,
scalability,owlrl,1,100,7021,True,http://10.151.73.34:8391,edge1,edge,completed,False,13980.886899,132.867759,1,963.0719260000001,1,736.835482,926.5111509999999,15,1,,,,,,,,,,
scalability,owlrl,1,100,7021,True,http://10.151.73.143:8391,edge2,edge,completed,False,13712.348047,239.053092,1,1011.8099409999999,1,742.8135149999999,725.356688,16,1,,,,,,,,,,
scalability,owlrl,1,100,7021,True,http://10.151.73.173:8391,edge3,edge,completed,False,14258.32774,134.070927,1,787.117853,1,741.082795,1690.586745,14,1,,,,,,,,,,
scalability,owlrl,2,100,7021,True,http://127.0.0.1:8391,cloud,cloud,completed,False,2907.209514,55.262295,1,229.129619,1,750.6746609999991,780.973032,54,1,,,,,,,,,,
scalability,owlrl,2,100,7021,True,http://10.151.73.241:8391,fog,fog,completed,False,14186.984991,334.720778,1,955.500405,1,749.964423,1657.158595,16,1,,,,,,,,,,
scalability,owlrl,2,100,7021,True,http://10.151.73.34:8391,edge1,edge,completed,False,14127.155288,231.954074,1,963.0719260000001,1,736.835482,741.084796,15,1,,,,,,,,,,
scalability,owlrl,2,100,7021,True,http://10.151.73.143:8391,edge2,edge,completed,False,13815.586011,384.791722,1,1011.8099409999999,1,742.8135149999999,736.068981,16,1,,,,,,,,,,
scalability,owlrl,2,100,7021,True,http://10.151.73.173:8391,edge3,edge,completed,False,14291.44854,224.009706,1,787.117853,1,741.082795,1469.982229,14,1,,,,,,,,,,
scalability,owlrl,3,100,7021,True,http://127.0.0.1:8391,cloud,cloud,completed,False,2954.698381,51.112636,1,229.129619,1,750.6746609999991,789.425933,54,1,,,,,,,,,,
scalability,owlrl,3,100,7021,True,http://10.151.73.241:8391,fog,fog,completed,False,14166.464325,330.009019,1,955.500405,1,749.964423,1664.011867,16,1,,,,,,,,,,
