reasoner,repetition,synthetic_users,synthetic_triples,calibration_reused,status,censored,query_count,node_count,prepare_wall_ms,calibration_wall_ms_excluded,node_reasoning_ms_sum,max_node_reasoning_ms,query_wall_ms,prepare_transport_retry_count,query_transport_retry_count,node_query_ms_sum,max_predicted_node_ms,balance_efficiency,total_wall_ms,input_triples_per_replica,output_triples_per_replica,node_generation_ms_sum,censored_lower_bound_ms,failed_phase,timeout_seconds,error
rdfs,1,10,721,True,completed,False,115,5,2237.354496,1019.411691,7928.505902,1909.175999,1612.237383,0,0,3311.541763,584.949274,0.41080076642783075,3849.5918789999996,8687,13533,125.506161,,,,
rdfs,2,10,721,True,completed,False,115,5,2424.352032,0.0,7995.992156,1917.790147,1616.085274,0,0,3096.812186,584.949274,0.38324861142197375,4040.437306,8687,13533,145.87337300000002,,,,
rdfs,3,10,721,True,completed,False,115,5,2308.916571,0.0,7953.815882,1901.5351,1596.0934059999997,0,0,3254.3780479999996,584.949274,0.4077929318880978,3905.0099769999997,8687,13533,61.451013,,,,
owlrl,1,10,721,True,completed,False,115,5,8540.118217,1078.209787,33826.043416,8197.293049,1501.944003,0,0,3258.2570370000003,554.193936,0.43387197265569427,10042.06222,8687,16924,125.181285,,,,
owlrl,2,10,721,True,completed,False,115,5,8563.351372,0.0,33901.036278,8213.842069,1446.5945060000001,0,0,3054.580885,554.193936,0.4223133535113812,10009.945877999999,8687,16924,62.044668,,,,
owlrl,3,10,721,True,completed,False,115,5,8647.527764,0.0,34055.85783,8241.929456,1853.352502,0,0,2984.935987,554.193936,0.32211206273807913,10500.880266,8687,16924,62.362445,,,,
rdfs_owlrl,1,10,721,True,completed,False,115,5,15856.623514,1176.8472789999998,64534.022532999996,15568.645007,1555.692804,0,0,3037.151229,620.818019,0.3904564218836613,17412.316318,8687,24411,60.845192000000004,,,,
rdfs_owlrl,2,10,721,True,completed,False,115,5,15867.412313,0.0,64283.197615000005,15450.584472,1541.282871,0,0,3362.436856,620.818019,0.4363166449541371,17408.695184,8687,24411,199.060001,,,,
rdfs_owlrl,3,10,721,True,completed,False,115,5,15786.380603,0.0,64121.260796,15361.763861,1555.473078,0,0,3311.3056330000004,620.818019,0.42576187011319017,17341.853681,8687,24411,61.044353,,,,
rdfs,1,100,7021,True,completed,False,115,5,4099.048052,1052.2712960000001,13941.802796,3333.666466,2183.008528,0,0,4350.159124,751.4673199999994,0.3985471488730712,6282.05658,14987,23343,674.0930510000001,,,,
rdfs,2,100,7021,True,completed,False,115,5,4177.466566,0.0,14117.401135,3448.788406,2021.4816629999998,0,0,4174.3407529999995,751.4673199999994,0.4129981319548581,6198.948229,14987,23343,648.949777,,,,
rdfs,3,100,7021,True,completed,False,115,5,4258.98615,0.0,14242.481869,3448.389794,2190.596826,0,0,4160.68303,751.4673199999994,0.37986753021982145,6449.582976,14987,23343,1153.56391,,,,
owlrl,1,100,7021,True,completed,False,115,5,15043.989682,1275.846157,59043.673964,14258.32774,3173.6076860000007,0,0,5901.52675,750.6746609999991,0.37191280926334375,18217.597368,14987,28354,775.269813,,,,
owlrl,2,100,7021,True,completed,False,115,5,14879.579201,0.0,59328.384344,14291.44854,2820.180843,0,0,5385.267633,750.6746609999991,0.3819093833196427,17699.760044000002,14987,28354,1230.738575,,,,
owlrl,3,100,7021,True,completed,False,115,5,14880.888787,0.0,59093.954104000004,14176.099229,2775.319329,0,0,5400.095257,750.6746609999991,0.3891512735542224,17656.208116,14987,28354,1447.849213,,,,
rdfs_owlrl,1,100,7021,True,completed,False,115,5,26304.551194,1464.579173,106812.46531700001,25696.132525,2512.607394,0,0,4587.437426,1034.5638350000002,0.36515354025898406,28817.158588,14987,38001,805.218932,,,,
rdfs_owlrl,2,100,7021,True,completed,False,115,5,26490.488749,0.0,107217.464605,25772.438603,2732.198592,0,0,4615.47951,1034.5638350000002,0.3378582745422921,29222.687341,14987,38001,1450.455982,,,,
rdfs_owlrl,3,100,7021,True,completed,False,115,5,26436.239611,0.0,107028.021384,25725.429506,2467.1915000000004,0,0,4331.001658,1034.5638350000002,0.3510875955919919,28903.431111,14987,38001,1226.307902,,,,
rdfs,1,500,35105,True,completed,False,115,5,12291.161768,2498.2987900000003,43161.097069,10432.432918,17039.114044,0,0,27034.518928,1479.460404000002,0.31732305867768623,29330.275812,43071,67067,3924.669675,,,,
rdfs,2,500,35105,True,completed,False,115,5,13241.663443,0.0,43409.274005,10501.338216,17155.721144000006,0,0,27269.706329,1479.460404000002,0.31790801564220145,30397.384587000008,43071,67067,5006.913957,,,,
rdfs,3,500,35105,True,completed,False,115,5,12870.35302,0.0,43541.892501,10465.703476,17061.275317000007,0,0,27332.719034,1479.460404000002,0.32040651740453935,29931.62833700001,43071,67067,4961.4059529999995,,,,
owlrl,1,500,35105,True,completed,False,115,5,43545.47897,2430.3035659999996,171376.62055,41434.429393,22067.649966000004,0,0,27171.357206,1465.3823139999993,0.24625510417161198,65613.128936,43071,79302,4617.912083,,,,
owlrl,2,500,35105,True,completed,False,115,5,43276.752277,0.0,171184.000628,41270.600253,21777.689394000005,0,0,27637.319634,1465.3823139999993,0.2538131491728814,65054.44167100001,43071,79302,5407.869482,,,,
