suite,reasoner,repetition,stage,added_category,calibration_reused,endpoint,role,tier_name,status,censored,reasoning_ms,generation_ms,prepare_transport_attempts,calibration_query_ms,calibration_transport_attempts,predicted_query_ms,measured_query_ms,query_count,query_transport_attempts
cumulative,rdfs,1,12,delegation,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,419.03855799999997,471.80546300000003,12,1
cumulative,rdfs,1,12,delegation,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,412.7830569999999,393.320426,12,1
cumulative,rdfs,1,12,delegation,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,406.52382499999993,473.91249899999997,14,1
cumulative,rdfs,1,13,federation,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,437.47716499999984,403.160254,47,1
cumulative,rdfs,1,13,federation,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,431.15827599999994,607.340834,15,1
cumulative,rdfs,1,13,federation,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,431.179243,434.27968500000003,12,1
cumulative,rdfs,1,13,federation,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,439.6104279999999,557.119554,13,1
cumulative,rdfs,1,13,federation,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,432.3315609999999,624.60682,15,1
cumulative,rdfs,1,14,audit_temporal,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,516.1780759999997,539.805101,50,1
cumulative,rdfs,1,14,audit_temporal,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,512.4358689999999,589.856185,13,1
cumulative,rdfs,1,14,audit_temporal,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,513.938429,503.26179799999994,15,1
cumulative,rdfs,1,14,audit_temporal,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,507.29596599999996,407.145128,13,1
cumulative,rdfs,1,14,audit_temporal,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,516.565258,512.054286,16,1
cumulative,rdfs,1,15,validation,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,554.3616089999998,468.764265,53,1
cumulative,rdfs,1,15,validation,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,547.2867579999998,700.5993520000001,13,1
cumulative,rdfs,1,15,validation,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,553.7807439999999,583.9193720000001,17,1
cumulative,rdfs,1,15,validation,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,548.9022430000001,562.820833,14,1
cumulative,rdfs,1,15,validation,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,544.9236089999999,562.728073,14,1
cumulative,rdfs,1,16,wellbeing,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,562.1175509999998,470.92716,55,1
cumulative,rdfs,1,16,wellbeing,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,550.9494249999999,726.50798,13,1
cumulative,rdfs,1,16,wellbeing,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,553.7807439999999,615.909073,17,1
cumulative,rdfs,1,16,wellbeing,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,563.405651,523.760021,15,1
cumulative,rdfs,1,16,wellbeing,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,563.1616869999999,609.142598,15,1
cumulative,rdfs,2,1,topology,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,20.114588,17.356302,4,1
cumulative,rdfs,2,1,topology,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,0.0,0.0,0,0
cumulative,rdfs,2,1,topology,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,0.0,0.0,0,0
cumulative,rdfs,2,1,topology,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,0.0,0.0,0,0
cumulative,rdfs,2,1,topology,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,0.0,0.0,0,0
cumulative,rdfs,2,2,semantic_schema,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,29.235436,48.123451,4,1
cumulative,rdfs,2,2,semantic_schema,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,21.888944,14.852111,1,1
cumulative,rdfs,2,2,semantic_schema,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,21.134445,20.85713,1,1
cumulative,rdfs,2,2,semantic_schema,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,22.083,12.423149,1,1
cumulative,rdfs,2,2,semantic_schema,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,20.810248,20.65697,1,1
cumulative,rdfs,2,3,observability,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,49.427640999999994,43.643693999999996,7,1
cumulative,rdfs,2,3,observability,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,29.248833,29.331296,1,1
cumulative,rdfs,2,3,observability,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,50.383371,31.313555,2,1
cumulative,rdfs,2,3,observability,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,34.712111,23.043519,1,1
cumulative,rdfs,2,3,observability,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,50.214859000000004,78.342005,2,1
cumulative,rdfs,2,4,identity_consent,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,109.96480099999998,107.30200500000001,17,1
cumulative,rdfs,2,4,identity_consent,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,91.131537,120.28320400000001,3,1
cumulative,rdfs,2,4,identity_consent,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,108.343259,63.696351,4,1
cumulative,rdfs,2,4,identity_consent,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,90.289999,66.15524,3,1
cumulative,rdfs,2,4,identity_consent,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,107.839561,159.73053400000003,4,1
cumulative,rdfs,2,5,data_lifecycle,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,132.79633299999995,187.885804,21,1
cumulative,rdfs,2,5,data_lifecycle,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,116.50409199999999,232.69249900000003,4,1
cumulative,rdfs,2,5,data_lifecycle,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,135.899741,171.530942,5,1
cumulative,rdfs,2,5,data_lifecycle,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,115.764647,77.25007399999998,4,1
cumulative,rdfs,2,5,data_lifecycle,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,133.94002,291.352531,5,1
cumulative,rdfs,2,6,security_identity,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,264.21567400000004,135.442231,16,1
cumulative,rdfs,2,6,security_identity,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,247.568313,161.097203,8,1
cumulative,rdfs,2,6,security_identity,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,260.08664799999997,128.568334,6,1
cumulative,rdfs,2,6,security_identity,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,258.12933100000004,300.12496300000004,6,1
cumulative,rdfs,2,6,security_identity,True,http://10.151.73.173:8391,edge3,edge,completed,False,1717.524759,0.092555,1,1765.4095049999999,1,266.932114,269.411873,9,1
cumulative,rdfs,2,7,context_zones,True,http://127.0.0.1:8391,cloud,cloud,completed,False,344.281393,0.03671,1,283.90765,1,275.807452,145.950131,19,1
cumulative,rdfs,2,7,context_zones,True,http://10.151.73.241:8391,fog,fog,completed,False,1725.717277,0.096593,1,760.210832,1,265.242998,178.605204,9,1
cumulative,rdfs,2,7,context_zones,True,http://10.151.73.34:8391,edge1,edge,completed,False,1712.477073,0.095889,1,652.234261,1,277.55459199999996,143.683223,7,1
cumulative,rdfs,2,7,context_zones,True,http://10.151.73.143:8391,edge2,edge,completed,False,1727.589444,0.107778,1,640.959484,1,275.468739,214.132092,7,1
