attempted,category,completed,completion_percent,current_rss_kib_median,current_rss_kib_p95,current_rss_kib_sum,engine_duration_ms_median,engine_duration_ms_p95,engine_duration_ms_sum,latency_ms_median,latency_ms_p95,latency_ms_sum,process_cpu_ms_median,process_cpu_ms_p95,process_cpu_ms_sum,reasoner,request_bytes_median,request_bytes_p95,request_bytes_sum,response_bytes_median,response_bytes_p95,response_bytes_sum
63,security_identity,17,26.984126984126984,436212.0,456364.8,,9.926219,12703.8005264,40503.844375,15107.754279,21780.2529334,221150.66647,9.971736,12699.9252938,40493.879635,rdfs_owlrl,65.0,71.0,1141.0,569.0,587.0,9764.0
63,context_zones,17,26.984126984126984,435244.0,456368.0,,32.397496,234.00703399999975,1280.241517,15133.76864,21783.5659288,222352.784048,32.370199,233.98414979999978,1280.287969,rdfs_owlrl,66.0,72.0,1147.0,569.0,575.0,9675.0
63,trust,18,28.571428571428573,435266.0,456368.0,,6.774776,10.1982608,126.749909,15066.498739999999,21750.8157354,222400.852178,6.8144919999999995,10.23416395,127.485331,rdfs_owlrl,65.0,71.0,1206.0,557.5,561.0,10039.0
173,decision,43,24.85549132947977,436436.0,461856.8,,6.697765,9.5961805,327.989273,15001.866715,22241.1110141,514849.268682,6.732638,9.636063100000001,329.613476,rdfs_owlrl,65.0,72.0,2879.0,560.0,561.0,24092.0
83,policy_governance,24,28.91566265060241,436420.0,456367.4,,13.537129,54.82923575,510.62948,15557.6966225,21304.548433399996,304961.826498,13.570248,54.89111955,511.64340400000003,rdfs_owlrl,65.0,71.0,1608.0,573.0,574.85,13738.0
83,adaptation,24,28.91566265060241,436420.0,456367.4,,4.1609695,20.3837445,137.738676,15556.163854499999,21303.640170649993,304986.246097,4.196606,20.4254252,138.662915,rdfs_owlrl,66.0,72.0,1620.0,562.0,567.0,13507.0
53,delegation,15,28.30188679245283,435244.0,456368.0,,4.429856,16.3098308,99.33738199999999,15005.526407,21869.286798600002,182016.438291,4.468435,16.3519531,99.908184,rdfs_owlrl,66.0,72.0,1011.0,562.0,569.0,8449.0
73,federation,21,28.767123287671232,436420.0,456368.0,,5.47145,6.819475,105.428875,15136.300276,21670.982146,263783.796902,5.519033,6.819418,106.151279,rdfs_owlrl,66.0,72.0,1416.0,562.0,563.0,11797.0
53,audit_temporal,15,28.30188679245283,435216.0,456369.2,,30.764314,1583.3306830999998,7790.2676,15003.462208,21872.9016763,189744.550747,30.773317,1582.8653381999995,7791.238526,rdfs_owlrl,65.0,71.0,1005.0,571.0,578.6,8573.0
43,validation,12,27.906976744186046,435308.0,456371.6,,12.7004015,33.02559395,189.750516,14743.3780865,21973.110720099998,149209.668676,12.736746499999999,33.06728865,190.200563,rdfs_owlrl,65.0,71.0,804.0,564.0,567.0,6770.0
43,wellbeing,12,27.906976744186046,436006.0,456371.6,,46.915401499999994,299.6662396,1179.577747,14783.284202499999,22008.50847605,150334.044796,46.9528465,299.60612995,1179.763727,rdfs_owlrl,66.0,72.0,816.0,567.0,574.0,6806.0
