layout,median,metric,n,p95,reasoner,stage,suite,synthetic_users,total
replicated,15742.466334,total_wall_ms,3,15800.391801900001,rdfs_owlrl,13,cumulative,,47282.940419000006
replicated,15724.065551,total_wall_ms,3,15894.5871695,rdfs_owlrl,14,cumulative,,47339.202927000006
replicated,15970.414481000002,total_wall_ms,3,16022.845602800002,rdfs_owlrl,15,cumulative,,47909.903766
replicated,16073.383604,total_wall_ms,3,16911.292512199998,rdfs_owlrl,16,cumulative,,49079.880099
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,1,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,2,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,3,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,4,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,5,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,6,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,7,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,8,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,9,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,10,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,11,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,12,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,13,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,14,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,15,cumulative,,39569.633773
sharded,13188.07064,max_node_reasoning_ms,3,13225.5607907,rdfs_owlrl,16,cumulative,,39569.633773
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,1,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,2,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,3,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,4,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,5,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,6,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,7,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,8,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,9,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,10,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,11,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,12,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,13,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,14,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,15,cumulative,,42699.003268
replicated,14215.011565,max_node_reasoning_ms,3,14299.5011962,rdfs_owlrl,16,cumulative,,42699.003268
sharded,71.004232,query_wall_ms,3,82.0698904,rdfs_owlrl,1,cumulative,,215.905637
sharded,57.258766,query_wall_ms,3,61.163730099999995,rdfs_owlrl,2,cumulative,,174.187746
sharded,173.674038,query_wall_ms,3,179.6574369,rdfs_owlrl,3,cumulative,,525.974659
sharded,786.2490869999999,query_wall_ms,3,906.3357045,rdfs_owlrl,4,cumulative,,2362.955474
sharded,865.033639,query_wall_ms,3,981.7326088,rdfs_owlrl,5,cumulative,,2718.758672
sharded,1800.555008,query_wall_ms,3,1837.9460255,rdfs_owlrl,6,cumulative,,5184.716707
sharded,1676.088721,query_wall_ms,3,1719.4274541999998,rdfs_owlrl,7,cumulative,,5053.836156
sharded,1840.596038,query_wall_ms,3,1849.0659794000005,rdfs_owlrl,8,cumulative,,5488.229198000001
sharded,2763.169952,query_wall_ms,3,3070.6832552000005,rdfs_owlrl,9,cumulative,,8171.598768000001
sharded,2430.3206020000002,query_wall_ms,3,2439.5505249999997,rdfs_owlrl,10,cumulative,,7244.348952
sharded,2695.1768049999996,query_wall_ms,3,2701.5240126999997,rdfs_owlrl,11,cumulative,,8049.641487999999
sharded,2957.258364,query_wall_ms,3,5240.2404209999995,rdfs_owlrl,12,cumulative,,11390.172486
sharded,3203.600056,query_wall_ms,3,4027.7060277999994,rdfs_owlrl,13,cumulative,,10474.006689
sharded,3657.622946,query_wall_ms,3,3696.5327405,rdfs_owlrl,14,cumulative,,10969.285669
sharded,3456.9546170000003,query_wall_ms,3,3628.3886609,rdfs_owlrl,15,cumulative,,10487.267894
sharded,4134.599589,query_wall_ms,3,4146.881205900001,rdfs_owlrl,16,cumulative,,12343.741711000002
replicated,23.77556,query_wall_ms,3,25.1220788,rdfs_owlrl,1,cumulative,,70.546623
replicated,56.651933,query_wall_ms,3,144.60379759999998,rdfs_owlrl,2,cumulative,,247.32148
replicated,206.815007,query_wall_ms,3,215.3301707,rdfs_owlrl,3,cumulative,,518.636173
replicated,210.02347300000002,query_wall_ms,3,282.5952097,rdfs_owlrl,4,cumulative,,684.732895
replicated,369.346525,query_wall_ms,3,476.88029349999994,rdfs_owlrl,5,cumulative,,1208.24002
replicated,321.343409,query_wall_ms,3,339.4684901,rdfs_owlrl,6,cumulative,,956.870424
replicated,379.98551100000003,query_wall_ms,3,432.36974639999994,rdfs_owlrl,7,cumulative,,1190.10368
replicated,418.35236900000007,query_wall_ms,3,626.106263,rdfs_owlrl,8,cumulative,,1477.6602560000001
replicated,579.305119,query_wall_ms,3,1096.6369108000001,rdfs_owlrl,9,cumulative,,2296.228728
replicated,1285.4432529999997,query_wall_ms,3,1829.0597257,rdfs_owlrl,10,cumulative,,4228.313098
replicated,1103.1399230000002,query_wall_ms,3,1904.2682594,rdfs_owlrl,11,cumulative,,4162.474636000001
replicated,1088.692132,query_wall_ms,3,1124.3924697999998,rdfs_owlrl,12,cumulative,,3270.259646
replicated,1244.1463370000001,query_wall_ms,3,1246.5853190000003,rdfs_owlrl,13,cumulative,,3672.1316960000004
replicated,1225.745554,query_wall_ms,3,1340.7806865999999,rdfs_owlrl,14,cumulative,,3728.394204
replicated,1412.4980050000001,query_wall_ms,3,1469.788585,rdfs_owlrl,15,cumulative,,4299.095043
replicated,1513.4119560000004,query_wall_ms,3,2406.8073501,rdfs_owlrl,16,cumulative,,5469.071376
