layout,median,metric,n,p95,reasoner,stage,suite,synthetic_users,total
sharded,55662.643739,total_wall_ms,3,56328.8358314,rdfs_owlrl,,scalability,500,167456.89378399999
replicated,17408.695184,total_wall_ms,3,17411.954204600002,rdfs_owlrl,,scalability,10,52162.865183
replicated,28903.431111,total_wall_ms,3,29190.761718,rdfs_owlrl,,scalability,100,86943.27704
sharded,13653.141751,max_node_reasoning_ms,3,13674.0021175,rdfs_owlrl,,scalability,10,40960.842179
sharded,17049.432064,max_node_reasoning_ms,3,17117.9296969,rdfs_owlrl,,scalability,100,51219.307801999996
sharded,32792.644666,max_node_reasoning_ms,3,32881.0611988,rdfs_owlrl,,scalability,500,98417.565867
replicated,15450.584472,max_node_reasoning_ms,3,15556.838953499999,rdfs_owlrl,,scalability,10,46380.99334
replicated,25725.429506,max_node_reasoning_ms,3,25767.737693299998,rdfs_owlrl,,scalability,100,77194.000634
sharded,4730.529653000001,query_wall_ms,3,5674.4639684,rdfs_owlrl,,scalability,10,14959.792852000002
sharded,6443.697168999999,query_wall_ms,3,8455.7039023,rdfs_owlrl,,scalability,100,21457.932647999998
sharded,20877.200683000003,query_wall_ms,3,21353.6840848,rdfs_owlrl,,scalability,500,62956.425435000005
replicated,1555.473078,query_wall_ms,3,1555.6708314,rdfs_owlrl,,scalability,10,4652.448753
replicated,2512.607394,query_wall_ms,3,2710.2394722000004,rdfs_owlrl,,scalability,100,7711.997486
sharded,2428.121206,total_wall_ms,3,2567.7225973,rdfs,1,cumulative,,7332.12547
sharded,2484.542246,total_wall_ms,3,2593.462001,rdfs,2,cumulative,,7489.566715
sharded,2523.58948,total_wall_ms,3,2536.5952297,rdfs,3,cumulative,,7494.776260000001
sharded,3005.334436,total_wall_ms,3,3041.8786552,rdfs,4,cumulative,,9037.286287
sharded,3171.377088,total_wall_ms,3,3195.128925,rdfs,5,cumulative,,9465.13505
sharded,3670.4475460000003,total_wall_ms,3,3707.3526651999996,rdfs,6,cumulative,,10943.608951999999
sharded,3855.947807,total_wall_ms,3,7010.357771,rdfs,7,cumulative,,15025.682436000001
sharded,3995.7878330000003,total_wall_ms,3,4118.8853717,rdfs,8,cumulative,,12095.574219
sharded,4496.371039,total_wall_ms,3,4525.9440526,rdfs,9,cumulative,,13484.200121
sharded,4472.054043,total_wall_ms,3,4531.177423499999,rdfs,10,cumulative,,13432.864524999999
sharded,6105.920132,total_wall_ms,3,6127.124564899999,rdfs,11,cumulative,,18205.195018
sharded,5086.501187,total_wall_ms,3,5701.8423713,rdfs,12,cumulative,,15899.802175
sharded,5323.037700000001,total_wall_ms,3,6229.6626594,rdfs,13,cumulative,,16848.576967
sharded,5519.481747999999,total_wall_ms,3,5694.998589700001,rdfs,14,cumulative,,16683.677811
sharded,5665.096141,total_wall_ms,3,6578.607461199999,rdfs,15,cumulative,,17882.445524
sharded,6208.200492,total_wall_ms,3,6386.5664439,rdfs,16,cumulative,,18729.339985
replicated,2622.3896870000003,total_wall_ms,3,3466.0476269,rdfs,1,cumulative,,8347.311699
replicated,2653.156808,total_wall_ms,3,3496.3939907,rdfs,2,cumulative,,8380.721355
replicated,2718.769695,total_wall_ms,3,3696.7308693,rdfs,3,cumulative,,8726.263582
replicated,2859.0516470000002,total_wall_ms,3,3721.3885280000004,rdfs,4,cumulative,,9110.288187
replicated,3153.055306,total_wall_ms,3,4039.4160472000003,rdfs,5,cumulative,,9784.094598
replicated,3095.335717,total_wall_ms,3,3868.1271889,rdfs,6,cumulative,,9494.461339000001
replicated,3006.7282640000003,total_wall_ms,3,3960.6294638000004,rdfs,7,cumulative,,9595.015479000002
replicated,3087.389564,total_wall_ms,3,4019.6231621,rdfs,8,cumulative,,9787.843052
replicated,3131.406811,total_wall_ms,3,4177.4307562,rdfs,9,cumulative,,10127.27247
replicated,3543.660309,total_wall_ms,3,4442.1911463,rdfs,10,cumulative,,11163.596654
replicated,3709.374973,total_wall_ms,3,4529.477086,rdfs,11,cumulative,,11553.680481
replicated,3659.160314,total_wall_ms,3,4557.6791705,rdfs,12,cumulative,,11487.601178
replicated,3771.3558270000003,total_wall_ms,3,4783.7493057,rdfs,13,cumulative,,11889.788362
replicated,3671.061563,total_wall_ms,3,4598.8959629,rdfs,14,cumulative,,11591.762609000001
replicated,3904.728796,total_wall_ms,3,4808.8817596,rdfs,15,cumulative,,12486.751019
replicated,3970.18739,total_wall_ms,3,4824.553016899999,rdfs,16,cumulative,,12329.784605
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,1,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,2,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,3,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,4,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,5,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,6,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,7,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,8,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,9,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,10,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,11,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,12,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,13,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,14,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,15,cumulative,,4850.85196
sharded,1585.808276,max_node_reasoning_ms,3,1680.8625104,rdfs,16,cumulative,,4850.85196
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,1,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,2,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,3,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,4,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,5,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,6,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,7,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,8,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,9,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,10,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,11,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,12,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,13,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,14,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,15,cumulative,,5209.857986999999
replicated,1728.821591,max_node_reasoning_ms,3,1750.9844159,rdfs,16,cumulative,,5209.857986999999
sharded,60.962744,query_wall_ms,3,226.19383399999998,rdfs,1,cumulative,,365.159952
sharded,223.416209,query_wall_ms,3,236.9067815,rdfs,2,cumulative,,522.601197
sharded,172.02043,query_wall_ms,3,183.6196579,rdfs,3,cumulative,,527.810742
sharded,647.331708,query_wall_ms,3,771.0649491,rdfs,4,cumulative,,2070.320769
sharded,832.6960690000001,query_wall_ms,3,834.6471231999999,rdfs,5,cumulative,,2498.169532
sharded,1331.766527,query_wall_ms,3,1343.0419474999999,rdfs,6,cumulative,,3976.6434339999996
sharded,1488.7893450000001,query_wall_ms,3,4738.6284915,rdfs,7,cumulative,,8058.716918
sharded,1628.6293710000002,query_wall_ms,3,1847.1560921999999,rdfs,8,cumulative,,5128.608700999999
sharded,2190.5489240000006,query_wall_ms,3,2196.7806842000005,rdfs,9,cumulative,,6517.234603000001
sharded,2161.9377569999997,query_wall_ms,3,2169.7231791,rdfs,10,cumulative,,6465.899006999999
sharded,3767.239113,query_wall_ms,3,3858.2430297,rdfs,11,cumulative,,11238.229500000001
sharded,2719.3427250000004,query_wall_ms,3,3430.1130918000003,rdfs,12,cumulative,,8932.836657
sharded,2984.356681,query_wall_ms,3,3865.3519416999998,rdfs,13,cumulative,,9881.611449
sharded,3258.3557109999992,query_wall_ms,3,3338.4433702000006,rdfs,14,cumulative,,9716.712293
sharded,3326.4151220000003,query_wall_ms,3,4214.2967435,rdfs,15,cumulative,,10915.480006000002
sharded,3869.5194729999994,query_wall_ms,3,4022.2557262,rdfs,16,cumulative,,11762.374467
replicated,18.784903,query_wall_ms,3,68.01495969999999,rdfs,1,cumulative,,107.803257
replicated,45.833001,query_wall_ms,3,49.1801217,rdfs,2,cumulative,,141.21291300000001
replicated,115.164911,query_wall_ms,3,246.5417819,rdfs,3,cumulative,,486.75514
replicated,272.94972700000005,query_wall_ms,3,335.43981220000006,rdfs,4,cumulative,,870.779745
