category,layout,query_ms,reasoner,repetition
audit_temporal,replicated,540.6421280000001,owlrl,3
context_zones,replicated,81.310486,owlrl,3
validation,replicated,188.874941,owlrl,3
data_lifecycle,replicated,99.85771500000001,owlrl,3
policy_governance,replicated,412.013184,owlrl,3
delegation,replicated,100.992949,owlrl,3
adaptation,replicated,155.239704,owlrl,3
semantic_schema,replicated,70.07817899999999,owlrl,3
topology,replicated,41.559432,owlrl,3
observability,replicated,105.497136,owlrl,3
security_identity,replicated,100.472948,rdfs_owlrl,1
observability,replicated,113.400657,rdfs_owlrl,1
semantic_schema,replicated,114.71897799999999,rdfs_owlrl,1
decision,replicated,299.474604,rdfs_owlrl,1
data_lifecycle,replicated,216.019665,rdfs_owlrl,1
wellbeing,replicated,63.56066800000001,rdfs_owlrl,1
identity_consent,replicated,343.170927,rdfs_owlrl,1
context_zones,replicated,66.393787,rdfs_owlrl,1
audit_temporal,replicated,539.19138,rdfs_owlrl,1
trust,replicated,162.735741,rdfs_owlrl,1
delegation,replicated,122.485007,rdfs_owlrl,1
topology,replicated,55.897597999999995,rdfs_owlrl,1
validation,replicated,266.32831699999997,rdfs_owlrl,1
adaptation,replicated,136.639141,rdfs_owlrl,1
policy_governance,replicated,325.85373500000003,rdfs_owlrl,1
federation,replicated,110.808076,rdfs_owlrl,1
security_identity,replicated,155.309065,rdfs_owlrl,2
observability,replicated,112.60982899999999,rdfs_owlrl,2
semantic_schema,replicated,111.721396,rdfs_owlrl,2
decision,replicated,362.02725100000004,rdfs_owlrl,2
data_lifecycle,replicated,107.981656,rdfs_owlrl,2
wellbeing,replicated,63.484249999999996,rdfs_owlrl,2
identity_consent,replicated,312.28128999999996,rdfs_owlrl,2
context_zones,replicated,65.800882,rdfs_owlrl,2
audit_temporal,replicated,779.9969000000001,rdfs_owlrl,2
trust,replicated,317.06137199999995,rdfs_owlrl,2
delegation,replicated,121.39752399999999,rdfs_owlrl,2
topology,replicated,54.703387000000006,rdfs_owlrl,2
validation,replicated,211.165328,rdfs_owlrl,2
adaptation,replicated,137.773716,rdfs_owlrl,2
policy_governance,replicated,340.36873899999995,rdfs_owlrl,2
federation,replicated,108.754271,rdfs_owlrl,2
security_identity,replicated,101.563108,rdfs_owlrl,3
observability,replicated,269.63886,rdfs_owlrl,3
semantic_schema,replicated,374.950425,rdfs_owlrl,3
decision,replicated,278.059129,rdfs_owlrl,3
data_lifecycle,replicated,95.984735,rdfs_owlrl,3
wellbeing,replicated,64.500938,rdfs_owlrl,3
identity_consent,replicated,315.54512600000004,rdfs_owlrl,3
context_zones,replicated,66.427985,rdfs_owlrl,3
audit_temporal,replicated,535.777235,rdfs_owlrl,3
trust,replicated,166.082748,rdfs_owlrl,3
delegation,replicated,171.423544,rdfs_owlrl,3
topology,replicated,54.228683000000004,rdfs_owlrl,3
validation,replicated,211.3958,rdfs_owlrl,3
adaptation,replicated,161.71063800000002,rdfs_owlrl,3
policy_governance,replicated,337.367038,rdfs_owlrl,3
federation,replicated,106.649641,rdfs_owlrl,3
