category,layer,layout,median,n,p95,reasoner,role,total
security_identity,Edge,sharded,27.310926000000002,12,198.04988405,rdfs,edge2,885.520778
topology,Edge,sharded,21.1581575,6,21.56674075,rdfs,edge2,127.544703
trust,Edge,sharded,32.482656999999996,6,45.52352275,rdfs,edge2,194.375869
wellbeing,Edge,sharded,19.676981,9,23.133915000000002,rdfs,edge2,182.571647
adaptation,Edge,sharded,19.711636,24,37.65524775,rdfs,edge3,470.07005200000003
audit_temporal,Edge,sharded,34.749469,15,84.310041,rdfs,edge3,700.001173
context_zones,Edge,sharded,26.355875499999996,12,59.177666099999996,rdfs,edge3,366.401347
data_lifecycle,Edge,sharded,20.3659325,24,39.8867018,rdfs,edge3,516.035682
decision,Edge,sharded,26.5555425,42,47.7777843,rdfs,edge3,1214.097274
delegation,Edge,sharded,21.82537,12,97.27573349999989,rdfs,edge3,406.662711
federation,Edge,sharded,25.173365,21,39.288938,rdfs,edge3,569.690955
identity_consent,Edge,sharded,23.827029500000002,48,44.9257389,rdfs,edge3,1312.387892
observability,Edge,sharded,28.031628,3,28.564344300000002,rdfs,edge3,84.370142
security_identity,Edge,sharded,27.389812,12,141.18491984999994,rdfs,edge3,620.169516
topology,Edge,sharded,20.965118,3,21.0624692,rdfs,edge3,62.591763
trust,Edge,sharded,32.550771999999995,6,45.580256500000004,rdfs,edge3,194.642188
wellbeing,Edge,sharded,18.595523,9,23.078954799999998,rdfs,edge3,178.662297
decision,Fog,sharded,25.3736665,6,124.07724074999999,rdfs,fog,271.847666
observability,Fog,sharded,36.286981,9,118.85014819999995,rdfs,fog,375.088795
topology,Fog,sharded,12.952694000000001,6,14.471,rdfs,fog,76.061277
trust,Fog,sharded,26.652639,12,31.7298529,rdfs,fog,314.549427
identity_consent,Cloud,sharded,4.742875,6,6.968609,rdfs_owlrl,cloud,30.080708
policy_governance,Cloud,sharded,15.5842115,24,55.142417699999996,rdfs_owlrl,cloud,579.116857
security_identity,Cloud,sharded,2.842235,6,3.72282,rdfs_owlrl,cloud,17.775998
semantic_schema,Cloud,sharded,6.535946,12,20.142933199999998,rdfs_owlrl,cloud,121.332705
validation,Cloud,sharded,16.495610499999998,12,32.9567179,rdfs_owlrl,cloud,204.854689
adaptation,Edge,sharded,20.904315,24,73.4525606,rdfs_owlrl,edge1,590.233648
audit_temporal,Edge,sharded,98.922481,15,147.9840293,rdfs_owlrl,edge1,1284.1789430000001
context_zones,Edge,sharded,19.004213,18,61.07637195,rdfs_owlrl,edge1,480.146702
data_lifecycle,Edge,sharded,20.9766015,24,149.31567204999973,rdfs_owlrl,edge1,844.152111
decision,Edge,sharded,31.4628515,42,50.67406335,rdfs_owlrl,edge1,1376.799998
delegation,Edge,sharded,21.696389,15,62.771535099999994,rdfs_owlrl,edge1,415.838483
federation,Edge,sharded,26.407741,21,39.371056,rdfs_owlrl,edge1,548.57728
identity_consent,Edge,sharded,26.575602,48,59.567225149999985,rdfs_owlrl,edge1,1361.402686
