figure,maximum,median,metric,minimum,n,series,x
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,1.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,2.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,3.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,4.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,5.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,6.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,7.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,8.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,9.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,10.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,11.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,12.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,13.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,14.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,15.0
sharded-cumulative-time,13.229726363,13.18807064,max_node_reasoning_ms,13.15183677,3,rdfs_owlrl,16.0
sharded-cumulative-time,0.177909236,0.062712944,query_wall_ms,0.061992436,3,owlrl,1.0
sharded-cumulative-time,0.061080500999999995,0.057294947,query_wall_ms,0.056691086,3,owlrl,2.0
sharded-cumulative-time,0.175584148,0.174732968,query_wall_ms,0.174072537,3,owlrl,3.0
