architecture,synthetic_users,reasoner,repetition,node_count,status,censored,query_count,source_query_executions,federation_fanout_factor,prepare_wall_ms,node_generation_ms_sum,node_reasoning_ms_sum,max_node_reasoning_ms,query_wall_ms,prepare_transport_retry_count,query_transport_retry_count,node_query_batch_count_sum,max_node_query_batch_count,node_query_ms_sum,node_prepare_process_cpu_ms_sum,node_query_process_cpu_ms_sum,total_process_cpu_ms,max_node_prepare_peak_rss_kib,max_node_query_peak_rss_kib,max_node_peak_rss_kib,sum_node_prepare_current_rss_kib,sum_node_query_current_rss_kib,max_sum_node_current_rss_kib,prepare_request_bytes_sum,prepare_response_bytes_sum,query_request_bytes_sum,query_response_bytes_sum,total_wall_ms,logical_input_triples,aggregate_fragment_triples,aggregate_output_triples,aggregate_inferred_triples,max_fragment_triples,max_fragment_fraction,storage_replication_factor,error,result_validation_rate,reference_status,reference_error,timeout_seconds
physical,1000,owlrl,2,5,completed,False,115,269,2.3391304347826085,32850.178041,9603.954636,96947.576051,29742.100779,24183.346137,0,0,5,1,65037.280273999975,108451.046726,65045.868737000004,173496.915463,1705632,1705632,1705632,1922636,1915964,1922636,845,3450,3411,2905414,57033.524178,78176,114380,222258,107878,30794,0.3939060581252558,1.46310888252149,,1.0,completed,,
physical,1000,owlrl,3,5,completed,False,115,269,2.3391304347826085,32848.284398,9499.667716,97483.741715,29636.438557,24169.610706,0,0,5,1,64854.07080499999,108948.344266,64854.622947,173802.967213,1705632,1705632,1705632,1913164,1906496,1913164,845,3450,3411,2905433,57017.895104,78176,114380,222258,107878,30794,0.3939060581252558,1.46310888252149,,1.0,completed,,
physical,1000,rdfs_owlrl,1,5,timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RuntimeError: Distributed phase 'experiment-partitioned-prepare' failed on role=edge2 endpoint=http://10.151.73.143:8391 after 44448.24 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,45.0
physical,1000,rdfs_owlrl,2,5,skipped_after_timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RuntimeError: Distributed phase 'experiment-partitioned-prepare' failed on role=edge2 endpoint=http://10.151.73.143:8391 after 44448.24 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,45.0
physical,1000,rdfs_owlrl,3,5,skipped_after_timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RuntimeError: Distributed phase 'experiment-partitioned-prepare' failed on role=edge2 endpoint=http://10.151.73.143:8391 after 44448.24 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,45.0
physical,2500,rdfs,1,5,timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RuntimeError: Distributed phase 'experiment-federated-queries' failed on role=edge2 endpoint=http://10.151.73.143:8391 after 29306.84 ms: TimeoutError: timed out; query_ids=BASE-Q01,BASE-Q02,BASE-Q03,BASE-Q04,BASE-Q05,BASE-Q09,BASE-Q10,BASE-Q12,BASE-Q13,BASE-Q15,BASE-Q16,BASE-Q17,...(+68)",,,,45.0
physical,2500,rdfs,2,5,skipped_after_timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RuntimeError: Distributed phase 'experiment-federated-queries' failed on role=edge2 endpoint=http://10.151.73.143:8391 after 29306.84 ms: TimeoutError: timed out; query_ids=BASE-Q01,BASE-Q02,BASE-Q03,BASE-Q04,BASE-Q05,BASE-Q09,BASE-Q10,BASE-Q12,BASE-Q13,BASE-Q15,BASE-Q16,BASE-Q17,...(+68)",,,,45.0
physical,2500,rdfs,3,5,skipped_after_timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RuntimeError: Distributed phase 'experiment-federated-queries' failed on role=edge2 endpoint=http://10.151.73.143:8391 after 29306.84 ms: TimeoutError: timed out; query_ids=BASE-Q01,BASE-Q02,BASE-Q03,BASE-Q04,BASE-Q05,BASE-Q09,BASE-Q10,BASE-Q12,BASE-Q13,BASE-Q15,BASE-Q16,BASE-Q17,...(+68)",,,,45.0
physical,2500,owlrl,1,5,timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: Distributed phase 'experiment-partitioned-prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 45224.33 ms: TimeoutError: timed out,,,,45.0
physical,2500,owlrl,2,5,skipped_after_timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RuntimeError: Distributed phase 'experiment-partitioned-prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 45224.33 ms: TimeoutError: timed out,,,,45.0
