source,target,kind,predicate,index
http://example.org/smartcity#SleepObservation,http://www.w3.org/ns/sosa/Observation,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#SleepParametrizedData,http://example.org/smartcity#ParametrizedData,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#SleepSensor,http://example.org/smartcity#PhysiologicalSensor,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#SmartBand,http://example.org/smartcity#Wearable,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#SmartRing,http://example.org/smartcity#Wearable,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#SmartWatch,http://example.org/smartcity#Wearable,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#SpO2Sensor,http://example.org/smartcity#PhysiologicalSensor,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#State,http://example.org/smartcity#TemporalEntity,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#StressObservation,http://www.w3.org/ns/sosa/Observation,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#SynchronizationEvent,http://example.org/smartcity#AdaptationAction,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#T_decision_max,http://example.org/smartcity#AcceptanceProfile,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#T_decision_max,http://www.w3.org/2001/XMLSchema#decimal,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#T_inference_local,http://example.org/smartcity#AcceptanceProfile,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#T_inference_local,http://www.w3.org/2001/XMLSchema#decimal,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#T_migration_max,http://example.org/smartcity#AcceptanceProfile,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#T_migration_max,http://www.w3.org/2001/XMLSchema#decimal,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#T_node_join,http://example.org/smartcity#AcceptanceProfile,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#T_node_join,http://www.w3.org/2001/XMLSchema#decimal,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#T_reselection_max,http://example.org/smartcity#AcceptanceProfile,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#T_reselection_max,http://www.w3.org/2001/XMLSchema#decimal,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#T_sparql_monitor,http://example.org/smartcity#AcceptanceProfile,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#T_sparql_monitor,http://www.w3.org/2001/XMLSchema#decimal,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#TemperatureSensor,http://example.org/smartcity#PhysiologicalSensor,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#TransferEvent,http://example.org/smartcity#TemporalEntity,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#TrustAssessment,http://example.org/smartcity#TemporalEntity,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#UrbanZone,http://example.org/smartcity#CityArea,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#User,http://xmlns.com/foaf/0.1/Person,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#UserState,http://example.org/smartcity#State,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#ValidationCampaign,http://example.org/smartcity#Artifact,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#ValidationRequirement,http://example.org/smartcity#Requirement,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#Wearable,https://saref.etsi.org/core/Device,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#actionOriginNode,http://example.org/smartcity#AdaptationAction,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#actionOriginNode,http://example.org/smartcity#ComputationalNode,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#actionTargetNode,http://example.org/smartcity#AdaptationAction,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#actionTargetNode,http://example.org/smartcity#ComputationalNode,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#affectsModel,http://example.org/smartcity#AdaptationAction,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#affectsModel,http://example.org/smartcity#AIModel,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#affectsService,http://example.org/smartcity#AdaptationAction,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#affectsService,http://example.org/smartcity#Service,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#aggregatesData,http://example.org/smartcity#ComputationalNode,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#aggregatesData,http://example.org/smartcity#ParametrizedData,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#alternativeModelTier,http://example.org/smartcity#DecisionAlternative,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#alternativeModelTier,http://example.org/smartcity#ModelTier,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#appliedMechanism,http://example.org/smartcity#EvaluationState,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#appliedMechanism,http://example.org/smartcity#MechanismSpecification,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#appliedPolicy,http://example.org/smartcity#EvaluationState,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#appliedPolicy,http://example.org/smartcity#Policy,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#appliedSecurityMechanism,http://example.org/smartcity#SecurityMechanism,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#appliesInZone,http://example.org/smartcity#Policy,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#appliesInZone,http://example.org/smartcity#CityArea,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#appliesPolicy,http://example.org/smartcity#EvaluationState,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#appliesPolicy,http://example.org/smartcity#Policy,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#appliesTo,http://example.org/smartcity#Permission,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#appliesToZoneType,http://example.org/smartcity#Policy,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#appliesToZoneType,http://example.org/smartcity#ZoneType,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#artifactIdentifier,http://example.org/smartcity#Artifact,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#artifactIdentifier,http://www.w3.org/2001/XMLSchema#string,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#artifactStatus,http://example.org/smartcity#Artifact,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
http://example.org/smartcity#artifactStatus,http://www.w3.org/2001/XMLSchema#string,range,http://www.w3.org/2000/01/rdf-schema#range,-1
http://example.org/smartcity#artifactVersion,http://example.org/smartcity#Artifact,domain,http://www.w3.org/2000/01/rdf-schema#domain,-1
