architecture,endpoint,role,profile,dimension,dimension_value,reasoner,repetition,synthetic_users,target_triples,rule_count,padding_mode,status,error,prepare_wall_ms,generation_ms,reasoning_ms,input_triples,output_triples,inferred_triples,closure_expansion_factor,process_cpu_ms,current_rss_kib,peak_rss_kib,disk_read_bytes,disk_write_bytes,timeout_seconds
physical,http://127.0.0.1:8391,cloud,rules-25,rule_count,25,rdfs_owlrl,1,500,50000,25,neutral,completed,,42194.066375,566.46209,40869.817862,50000,167979,117979,3.35958,42186.158102,1150768,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-25,rule_count,25,rdfs_owlrl,2,500,50000,25,neutral,completed,,42198.830096,142.387496,41727.867791,50000,167979,117979,3.35958,42190.888061,1146720,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-25,rule_count,25,rdfs_owlrl,3,500,50000,25,neutral,completed,,41445.313427,558.247047,40323.271604,50000,167979,117979,3.35958,41437.346887,1146720,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-50,rule_count,50,rdfs,1,500,50000,50,neutral,completed,,8355.201883,134.723602,7869.012331,50000,89100,39100,1.782,8352.765196,1146720,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-50,rule_count,50,rdfs,2,500,50000,50,neutral,completed,,10052.012452,805.712688,8105.015579,50000,89100,39100,1.782,10049.311932,1136560,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-50,rule_count,50,rdfs,3,500,50000,50,neutral,completed,,8703.83223,380.914686,8040.199765,50000,89100,39100,1.782,8701.169652,1136560,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-50,rule_count,50,owlrl,1,500,50000,50,neutral,completed,,25943.927009,387.610746,24663.442645,50000,115041,65041,2.30082,25938.705804,1134512,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-50,rule_count,50,owlrl,2,500,50000,50,neutral,completed,,24801.5827,376.399315,23727.911404,50000,115041,65041,2.30082,24796.552333,1134512,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-50,rule_count,50,owlrl,3,500,50000,50,neutral,completed,,24151.287346,139.03523,23781.339487,50000,115041,65041,2.30082,24146.379217,1134512,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-50,rule_count,50,rdfs_owlrl,1,500,50000,50,neutral,timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-50,rule_count,50,rdfs_owlrl,2,500,50000,50,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-50,rule_count,50,rdfs_owlrl,3,500,50000,50,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-100,rule_count,100,rdfs,1,500,50000,100,neutral,completed,,10245.638704,183.366226,9823.061023,50000,92825,42825,1.8565,10242.934177,1133488,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-100,rule_count,100,rdfs,2,500,50000,100,neutral,completed,,10405.231225,134.064894,9892.349893,50000,92825,42825,1.8565,10402.608782,1131456,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-100,rule_count,100,rdfs,3,500,50000,100,neutral,completed,,10900.684487,792.250124,9531.96541,50000,92825,42825,1.8565,10897.925075,1130448,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-100,rule_count,100,owlrl,1,500,50000,100,neutral,completed,,29619.560295,137.71466,29147.706955,50000,118666,68666,2.37332,29613.694946,1129440,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-100,rule_count,100,owlrl,2,500,50000,100,neutral,completed,,29997.944019,385.378356,28764.343671,50000,118666,68666,2.37332,29991.193647,1129440,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-100,rule_count,100,owlrl,3,500,50000,100,neutral,completed,,29384.175346,373.685894,28577.385218,50000,118666,68666,2.37332,29376.278202,1129440,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-100,rule_count,100,rdfs_owlrl,1,500,50000,100,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-100,rule_count,100,rdfs_owlrl,2,500,50000,100,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-100,rule_count,100,rdfs_owlrl,3,500,50000,100,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
